Job Code,JobID,Job Name,Driver Name,Driver Description,Driver Score,Driver Level Description,Driver ID
JOB-T02,1077103,Elementary School Teacher ABC,Challenge,Motivated by achievement in the face of tough obstacles.,6.3,Motivated by achievement in the face of tough obstacles.,765702
JOB-T02,1077103,Elementary School Teacher ABC,Structure,"A preference for process-oriented, structured, and stable work environments.",5.82,"A preference for process-oriented, structured, and stable work environments.",765703
JOB-T02,1077103,Elementary School Teacher ABC,Collaboration,"A preference for work-related interdependence, group decision making, and pursuing shared goals.",5.24,"A preference for work-related interdependence, group decision making, and pursuing shared goals.",765700
JOB-T02,1077103,Elementary School Teacher ABC,Independence,"Prefers to work freely, autonomously, and with limited involvement by others.",4.76,Prefers an entrepreneurial approach and limited organizational constraints.,765704
JOB-T02,1077103,Elementary School Teacher ABC,Power,"Motivated to seek influence, recognition, and increasing levels of responsibility.",4.66,"Motivated to seek influence, recognition, and increasing levels of responsibility.",765701
JOB-T02,1077103,Elementary School Teacher ABC,Balance,"Motivated to integrate work and life in a sustainable, enjoyable, and meaningful way.",4.19,"Motivated to integrate work and life in a sustainable, enjoyable, and meaningful way.",765699
JOB-T03,1077110,Secondary School Teacher ABC,Challenge,Motivated by achievement in the face of tough obstacles.,6.71,Motivated by achievement in the face of tough obstacles.,765702
JOB-T03,1077110,Secondary School Teacher ABC,Power,"Motivated to seek influence, recognition, and increasing levels of responsibility.",6.34,"Motivated to seek influence, recognition, and increasing levels of responsibility.",765701
JOB-T03,1077110,Secondary School Teacher ABC,Collaboration,"A preference for work-related interdependence, group decision making, and pursuing shared goals.",5.38,"A preference for work-related interdependence, group decision making, and pursuing shared goals.",765700
JOB-T03,1077110,Secondary School Teacher ABC,Structure,"A preference for process-oriented, structured, and stable work environments.",5.26,"A preference for process-oriented, structured, and stable work environments.",765703
JOB-T03,1077110,Secondary School Teacher ABC,Independence,"Prefers to work freely, autonomously, and with limited involvement by others.",5.22,Prefers an entrepreneurial approach and limited organizational constraints.,765704
JOB-T03,1077110,Secondary School Teacher ABC,Balance,"Motivated to integrate work and life in a sustainable, enjoyable, and meaningful way.",3.6,"Motivated to integrate work and life in a sustainable, enjoyable, and meaningful way.",765699
